Domain domainModules.pddl
p01: 50.00000000 50.00000000
p02: 50.00000000 50.00000000
p03: 50.00000000 50.00000000
p04: 140.00000000 140.00000000
p05: 360.00000000 370.00000000
p06: 650.00000000 650.00000000
p07: 1060.00000000 1070.00000000
p08: 1020.00000000 1030.00000000
p09: 1490.00000000 1490.00000000
p10: 2850.00000000 2860.00000000
p11: 3970.00000000 3980.00000000
p12: 5660.00000000 5670.00000000
p13: 260.00000000 260.00000000
p14: 390.00000000 390.00000000
p15: 290.00000000 290.00000000
p16: 3310.00000000 3320.00000000
p17: 4540.00000000 4550.00000000
p18: 5720.00000000 5740.00000000
p19: 17070.00000000 17090.00000000
p20: 26080.00000000 26100.00000000
p21: 37660.00000000 37690.00000000
p22: 730.00000000 740.00000000
p23: 580.00000000 580.00000000
p24: 940.00000000 940.00000000
p25: 10420.00000000 10430.00000000
p26: 14580.00000000 14600.00000000
p27: 15420.00000000 15440.00000000
p28: 40870.00000000 40900.00000000
p29: TIME_OUT
p30: TIME_OUT

