transport|TransportModules
location|Location
target|Target
locatable|Locatable
vehicle|Vehicle
package-size|Package_size
package-|p
package|Package
can_load|Vehicle_canLoad
at|Locatable_at
in|Package_in
has-petrol-station|Location_hasPetrolStation
ready-loading|Vehicle_readyLoading
capacity|Vehicle_capacity
road-length|roadLength
fuel-demand|fuelDemand
fuel-left|Vehicle_fuelLeft
fuel-max|Vehicle_fuelMax
drive|Vehicle_drive
pick-up|Vehicle_pickUp
drop|Vehicle_drop
refuel|Vehicle_refuel
city-loc-|l
truck-|v

