CrewPlanning|CrewPlanningOpl
mcs_finished|MedicalState_finished
changed|FilterState_changed
available|CrewMember_available
done_sleep|CrewMember_doneSleep
done_pre_sleep|CrewMember_donePreSleep
done_post_sleep|CrewMember_donePostSleep
done_dpc|CrewMember_doneDPC
done_meal|CrewMember_doneMeal
done_exercise|CrewMember_doneExercise
done_remove_sleep_station|RPCM_doneRemoveSleepStation
done_first_reconfigure_thermal_loop|RPCM_doneFirstReconfigureThermalLoop
done_replace_rpcm|RPCM_doneReplace
done_assemble_sleep_station|RPCM_doneAssembleSleepStation
done_second_reconfigure_thermal_loop|RPCM_doneSecondReconfigureThermalLoop
done_rpcm|RPCM_done
payload_act_done|PayloadAct_done
payload_act_completed|PayloadAct_completed
next|Day_next
currentday|CrewMember_currentDay
initiated|Day_initiated
post_sleep|CrewMember_postSleep
unused|ExerEquipment_unused
initialize_day|Day_initialize
have_meal|CrewMember_haveMeal
exercise|CrewMember_exercise
sleep|CrewMember_sleep
change_filter|CrewMember_changeFilter
medical_conference|CrewMember_medicalConference
conduct_payload_activity|CrewMember_conductPayloadActivity
report_payload_activity_at_deadline|CrewMember_reportPayloadActivityAtDeadline
first_reconfigurate_thermal_loops|CrewMember_firstReconfigureThermalLoops
remove_sleep_station|CrewMember_removeSleepStation
replace_rpcm|CrewMember_replaceRPCM
assemble_sleep_station|CrewMember_assembleSleepStation
second_reconfigurate_thermal_loops|CrewMember_secondReconfigureThermalLoops
finish_rpcm|CrewMember_finishRPCM


